1702455609.632747 -0.0015896252589300275 0.013119912706315517 -0.011142626404762268 -0.3928389284530858, 0.025131576358282642 -0.10599308589241754 0.91313276466491
1702455609.699092 0.002819279208779335 0.033108025789260864 -0.0046813297085464 -0.39240802623197957, 0.03253187448656988 -0.11464272845423884 0.9120387398042257
1702455609.7654371 0.00022241473197937012 0.020601456984877586 -0.008363867178559303 -0.39266879619988526, 0.028036560946173652 -0.10920303996494783 0.9127430436895471
1702455609.831782 -0.00099402223713696 0.01668694242835045 -0.010090194642543793 -0.39295321362320024, 0.026261774329926442 -0.10753972196387328 0.9128709105411216
1702455609.898127 -0.0003646917175501585 0.019049227237701416 -0.009294401854276657 -0.39271877177771347, 0.027225956232968793 -0.10865920673778405 0.91281098283912
1702455609.964472 0.0019945327658206224 0.027256470173597336 -0.005105635616928339 -0.3925369081582512, 0.03093849300865849 -0.1119766032777609 0.9123698952191973
1702455610.030817 7.97464745119214e-05 0.015850722789764404 -0.00798470713198185 -0.39281982254754466, 0.027122318957535117 -0.1069663214719514 0.9129705213745077
1702455610.097162 0.0007431186968460679 0.029884273186326027 -0.008114200085401535 -0.3925456000300412, 0.030005274207533437 -0.11377524338006399 0.9121747800781345
1702455610.163507 0.0034296754747629166 0.03983151912689209 -0.003238687291741371 -0.3921459125156329, 0.03446018481374458 -0.1178784920013894 0.9116681085150243
1702455610.229852 0.002698066644370556 0.03990000858902931 -0.004532217048108578 -0.3922488018415556, 0.033770792010015864 -0.11814876805267112 0.9116146552510642
1702455610.2961981 -0.002026483416557312 0.0224753487855196 -0.012974507175385952 -0.39250711403068905, 0.026124017476537423 -0.11117277080676916 0.9126315336308136
1702455610.362543 0.0008681900799274445 0.030000289902091026 -0.007763208821415901 -0.3920873291683355, 0.030411919047115835 -0.1139696676893701 0.9123341253796701
1702455610.428888 0.0005585114704445004 0.02788587100803852 -0.007790313567966223 -0.39231401442088465, 0.029823399065297646 -0.11286620229801797 0.9123932810668791
1702455610.495233 -0.0005526751047000289 0.02131715789437294 -0.009880990721285343 -0.39240044201806273, 0.027486377814377218 -0.11005813856887471 0.9127724789198175
1702455610.561578 -0.0029234648682177067 0.017954906448721886 -0.013868473470211029 -0.392295102860182, 0.024811581667056094 -0.10916886738118335 0.9130011479082641
1702455610.627923 -0.0036015345249325037 -0.006176836788654327 -0.013673719018697739 -0.3924624569733807, 0.01997416485927242 -0.09739487767078255 0.9143787456016711
1702455610.72744 -0.0030838297680020332 -0.006429669447243214 -0.013072268106043339 -0.39272360924240257, 0.020264264888706 -0.09717440814407052 0.9142836872185737
1702455610.793785 -0.002383763436228037 -0.0014188075438141823 -0.010316833853721619 -0.3924494213310395, 0.022612973078248083 -0.0991395518659384 0.9141353589055156
1702455610.860131 -0.0015309527516365051 0.006903459317982197 -0.00845496915280819 -0.3924857094321161, 0.025245197228911533 -0.10281169332236599 0.913645119083241
1702455610.926476 -0.003721371293067932 -0.0028735240921378136 -0.011223875917494297 -0.3925623581930181, 0.021846711340767464 -0.0985012298673184 0.9141745040462218
1702455610.992821 -0.005130670964717865 -0.010725264437496662 -0.013938387855887413 -0.39287237683294923, 0.018856375085086776 -0.09511635491544322 0.9144662988147126
1702455611.059166 -0.0037521650083363056 -0.006068662274628878 -0.010198255069553852 -0.39260435531689136, 0.021601863925790544 -0.09675478454003163 0.9143487799137436
1702455611.125511 -0.0012012659572064877 0.004500301089137793 -0.00587557815015316 -0.3925135657766526, 0.02595069802505586 -0.1011017448396996 0.9138041908109625
1702455611.191856 -0.003412422491237521 -0.0036939908750355244 -0.010316414758563042 -0.3928506672117982, 0.022107950232277587 -0.09783107283977859 0.9141163344973057
1702455611.2582011 -0.0034079481847584248 -0.004205535631626844 -0.009049909189343452 -0.39300167801209795, 0.0224688839026376 -0.09727948190583675 0.9141014892975381
