1702455627.9001086 -0.1943087679701335 -0.46232151274202654,0.6529118953266433 -0.48458924497482747 0.5253506450850388 -0.4675847767414394 -0.5201388659993791
1702455628.9000423 -0.18967214356320983 -0.5006457610003242,0.6149723514700868 -0.49802768456805324 0.491417911902791 -0.4845649155117566 -0.5250463826367822
1702455629.9000516 -0.17438057227753676 -0.5440699483250488,0.5729723390452497 -0.520003286488075 0.5004886650906093 -0.500278893299164 -0.47836043636235903
1702455630.9000509 -0.17535579913465302 -0.568006960530792,0.5421492144275273 -0.5284033414496819 0.5131596205801305 -0.5027761596309216 -0.4524082734186579
1702455631.9000678 -0.1843939966116325 -0.5809611733447383,0.5123417988006175 -0.5257164304344522 0.4935254217801993 -0.5059979467543848 -0.47330853648363713
1702455632.9004521 -0.18482933217473985 -0.5816003593609956,0.51055498635684 -0.5254988669008804 0.4919615987928632 -0.5062366031208329 -0.4749202331547296
1702455633.899159 -0.18481287937548746 -0.5815662608998036,0.510666596012507 -0.5254872952620766 0.4919071596964326 -0.5062483200899734 -0.4749769332963616
1702455634.9000797 -0.1823324811630597 -0.5775212597764667,0.5143509751168589 -0.5220368246831912 0.4773160810402301 -0.5073921614911818 -0.4921383005948589
1702455635.9000962 -0.16073738434438778 -0.6127151999306604,0.46792014927958925 -0.5416937682136149 0.4874293559474984 -0.5177010446458616 -0.4482924411717498
1702455636.9000823 -0.11712495975536108 -0.6412691270285895,0.4237000089811005 0.5335972649776548 -0.47671406306563296 0.5136057776967748 0.4735258873602528
1702455637.9000528 -0.1017602250469889 -0.6415209239828166,0.42716227800373596 0.5223057433215343 -0.47259163854715747 0.5098595584583845 0.49385937706727273
1702455638.9001334 -0.10175383080379313 -0.6415119590123598,0.4272050825928634 0.5223068498321848 -0.4725623071314256 0.5098691719042867 0.4938763489362921
1702455639.9000993 -0.08661124381102697 -0.6437931152827585,0.42702575862613257 0.5278868310558253 -0.4665146706956143 0.5156016782167548 0.48770325510874785
1702455640.899142 0.0714618027265515 -0.6456287832276317,0.42707675200629647 0.5807142844172497 -0.39877089448763486 0.5711424531614534 0.4213656271933104
1702455641.899223 0.16655929474957726 -0.62784637318248,0.4271192595927863 0.6087875736458164 -0.3543836330142847 0.6009471664049919 0.377693571583962
1702455642.9000063 0.17428240804066272 -0.6257253419418876,0.42717786613636244 0.6109101390397604 -0.3506280548925407 0.6032663299587491 0.37405681958600534
1702455643.9000573 0.16581649248822705 -0.6297972551944203,0.42729284956228153 0.59464206656034 -0.37726059503893195 0.5864906575347738 0.4001299348113675
1702455644.9001172 0.1407900548973271 -0.6371159729756045,0.42735980741224033 0.5436481071550942 -0.4473125674228641 0.5340302236368069 0.46815587452756857
1702455645.9000688 0.12780083580202012 -0.6127145087193206,0.4994950131684912 0.5048977190020888 -0.4244297336886434 0.5522825499443332 0.5098251460397594
1702455646.9000428 0.09366490379070003 -0.5737438250155302,0.6063530389988137 0.5123330879367521 -0.46274495714899794 0.5191352424370682 0.5038655690739069
1702455647.9000475 0.07172920793017895 -0.5434060675064407,0.6461116095417938 0.5038100816180465 -0.4761637071523968 0.5062056992892596 0.5130295465740515
1702455648.900046 0.07172920793017895 -0.5434060675064407,0.6461116095417938 0.5038100816180465 -0.4761637071523968 0.5062056992892596 0.5130295465740515
1702455649.9000468 0.07172920793017895 -0.5434060675064407,0.6461116095417938 0.5038100816180465 -0.4761637071523968 0.5062056992892596 0.5130295465740515
1702455650.9000456 0.07172920793017895 -0.5434060675064407,0.6461116095417938 0.5038100816180465 -0.4761637071523968 0.5062056992892596 0.5130295465740515
1702455651.9000816 0.07172920793017895 -0.5434060675064407,0.6461116095417938 0.5038100816180465 -0.4761637071523968 0.5062056992892596 0.5130295465740515
